REGISTRO,ANNO,NUMERO
PG,2023,83090
PG,2023,107932
PG,2023,101594
PG,2023,74325
PG,2023,60622
PG,2023,75270
PG,2023,61309
PG,2023,85849
PG,2023,64027
PG,2023,69842
PG,2023,63468
PG,2023,32348
PG,2023,61919
PG,2023,87167
PG,2023,63311
PG,2023,89844
PG,2023,74825
PG,2023,81884
PG,2023,66811
PG,2023,76556
PG,2023,71731
PG,2023,66483
PG,2023,55098
PG,2023,65909
PG,2023,91682
PG,2023,101366
PG,2023,92553
PG,2023,86266
PG,2023,105885
PG,2023,42768
PG,2023,86389
PG,2023,74385
PG,2023,68941
PG,2023,61833
PG,2023,83906
PG,2023,71120
PG,2023,81821
PG,2023,58567
PG,2023,61374
PG,2023,53942
PG,2023,58346
PG,2023,68754
PG,2023,69507
PG,2023,82600
PG,2023,102145
PG,2023,54584
PG,2023,68190
PG,2023,108808
PG,2023,102220
PG,2023,91670
PG,2023,88814
PG,2023,89278
PG,2023,78437
PG,2023,66807
PG,2023,104579
PG,2023,67392
PG,2023,57873
PG,2023,75396
PG,2023,69176
PG,2023,63091
PG,2023,104483
PG,2023,52807
PG,2023,54279
PG,2023,67742
PG,2023,64058
PG,2023,62659
PG,2023,74592
PG,2023,87738
PG,2023,74770
PG,2023,66771
PG,2023,51088
PG,2023,59905
PG,2023,57447
PG,2023,70342
PG,2023,42656
PG,2023,85776
PG,2023,65320
PG,2023,80425
PG,2023,70679
PG,2023,109476
PG,2023,78130
PG,2023,74202
PG,2023,49736
PG,2023,60162
PG,2023,60694
PG,2023,86490
PG,2023,79113
PG,2023,87777
PG,2023,30438
PG,2023,102173
PG,2023,60126
PG,2023,110796
PG,2023,82229
PG,2023,92423
PG,2023,73728
PG,2023,84007
PG,2023,80205
PG,2023,67416
PG,2023,103174
PG,2023,100443
PG,2023,102052
PG,2023,85069
PG,2023,90178
PG,2023,77452
PG,2023,81560
PG,2023,73804
PG,2023,63992
PG,2023,46003
PG,2023,105554
PG,2023,109511
PG,2023,67755
PG,2023,93324
PG,2023,78910
PG,2023,63231
PG,2023,64759
PG,2023,67085
PG,2023,108083
PG,2023,54668
PG,2023,100925
PG,2023,62182
PG,2023,54268
PG,2023,53363
PG,2023,87412
PG,2023,89275
PG,2023,74771
PG,2023,87758
PG,2023,107095
PG,2023,85247
